Lat,Long,cat2,x,Start
38.9916456,-77.02661141,24,0,11/15/14
39.08681624,-77.15641337,21,0,11/15/14
39.17883254,-77.26734863,29,0,11/15/14
39.05299047,-77.12928093,8,0,11/15/14
39.05269731,-76.95317842,8,0,11/16/14
39.09114234,-76.94726505,27,0,11/16/14
39.03610824,-77.02783848,2942,0,11/16/14
39.04511908,-77.05543544,4,0,11/16/14
39.14870896,-77.2765129,14,0,11/17/14
39.0400528,-77.17737331,5,0,11/17/14
39.09093075,-77.10842175,29,0,11/17/14
39.12234532,-77.18173549,5,0,11/17/14
39.04191321,-77.11040133,6,0,11/17/14
39.20202748,-77.26104242,18,0,11/17/14
39.15943667,-77.08775772,6,0,11/17/14
39.14449968,-77.22545409,18,0,11/17/14
39.1779935,-77.26171377,2,0,11/18/14
39.00856305,-77.01679213,6,0,11/18/14
39.08303061,-76.93855621,5,0,11/18/14
39.09297769,-77.12281802,29,0,11/18/14
39.08583632,-77.15299702,10,0,11/18/14
38.99608121,-77.02813565,6,0,11/18/14
38.99754832,-77.02979931,11,0,11/18/14
39.1490888,-77.08654317,10,0,11/18/14
39.11674803,-77.09125777,6,0,11/18/14
39.03387207,-77.02268827,7,0,11/18/14
39.14605875,-77.22834655,6,0,11/18/14
39.09783748,-77.10813213,2942,0,11/18/14
39.15375977,-77.05995402,5,0,11/19/14
39.15805682,-77.20927401,6,0,11/19/14
38.99127846,-77.01355408,29,0,11/19/14
38.99545015,-77.0693689,6,0,11/19/14
39.03738588,-77.05163598,6,0,11/19/14
39.16500938,-77.26733554,6,0,11/19/14
38.96085306,-77.08576633,22,0,11/19/14
39.15634234,-77.05824441,28,0,11/20/14
39.04012149,-77.0513237,24,0,11/20/14
39.28389358,-77.21067227,18,0,11/20/14
39.13221799,-77.18885428,14,0,11/20/14
39.16367398,-77.28075452,10,0,11/20/14
38.97007067,-77.12575693,10,0,11/20/14
39.06259442,-77.16077134,6,0,11/20/14
39.11575942,-77.20388469,6,0,11/20/14
39.19004773,-77.18745552,28,0,11/21/14
39.08774345,-77.06283562,10,0,11/21/14
39.10520655,-76.93213041,2942,0,11/21/14
39.1779935,-77.26171377,8,0,11/21/14
39.17589497,-77.26886053,6,0,11/21/14
39.17926109,-77.28980466,10,0,11/21/14
39.16486125,-77.28718798,29,0,11/21/14
39.28776995,-77.20169174,18,0,11/21/14
39.09133919,-77.06280034,29,0,11/21/14
38.99696663,-76.99043535,10,0,11/21/14
39.15768906,-77.2634923,14,0,11/21/14
39.17268547,-77.2036566,18,0,11/21/14
39.05220079,-76.97667097,21,0,11/21/14
39.04598519,-77.13556175,18,0,11/22/14
38.99952801,-77.03188917,28,0,11/22/14
38.9969141,-77.09662024,28,0,11/22/14
39.18572492,-77.1911385,14,0,11/22/14
39.06031594,-77.10910581,29,0,11/22/14
39.01564533,-76.97379764,6,0,11/22/14
39.15781194,-77.21335993,6,0,11/22/14
39.06581907,-77.07453747,6,0,11/22/14
39.08474113,-76.93658854,21,0,11/22/14
39.08327275,-76.94235603,6,0,11/22/14
39.11906184,-77.23211987,6,0,11/22/14
39.05360124,-77.10417398,6,0,11/22/14
38.98271766,-77.09618921,4,0,11/23/14
39.15226566,-77.17225467,28,0,11/23/14
39.1572775,-77.26300285,14,0,11/23/14
39.04553937,-77.1048152,6,0,11/23/14
39.02723681,-77.14748239,2942,0,11/23/14
39.08046654,-77.152808,8,0,11/24/14
39.03948,-77.07272451,27,0,11/24/14
39.01781706,-77.04580271,6,0,11/24/14
39.03982997,-76.99051653,18,0,11/24/14
39.04716568,-77.0532387,6,0,11/24/14
39.05269996,-77.08473456,3,0,11/24/14
39.17132181,-77.25814436,24,0,11/24/14
39.05886579,-76.94261449,18,0,11/24/14
39.00249982,-76.99576033,27,0,11/25/14
39.0093113,-77.15199549,26,0,11/25/14
39.02232283,-76.97749199,6,0,11/25/14
39.0622063,-77.12898006,10,0,11/25/14
39.00853725,-77.00611825,10,0,11/25/14
39.14488552,-77.20274811,14,0,11/25/14
39.16456641,-77.26988518,21,0,11/25/14
39.14605875,-77.22834655,2942,0,11/25/14
39.02016233,-77.07377532,29,0,11/25/14
39.06824808,-77.12942928,2942,0,11/25/14
39.16040742,-77.21629324,14,0,11/25/14
39.0697784,-76.99576291,2942,0,11/25/14
39.16201073,-77.25418956,16,0,11/25/14
39.07274057,-77.11577769,24,0,11/25/14
38.99843827,-77.0287483,24,0,11/26/14
38.9813279,-77.12570903,21,0,11/26/14
39.04313668,-77.05205224,2941,0,11/26/14
39.14776097,-77.21385119,16,0,11/26/14
39.14596822,-77.21514879,28,0,11/27/14
39.16162154,-77.20191104,28,0,11/27/14
39.0573318,-76.97053929,28,0,11/27/14
39.07324554,-77.00270037,18,0,11/27/14
39.05806645,-77.05002379,28,0,11/27/14
39.03843036,-76.9949881,14,0,11/27/14
38.99552688,-77.04222272,6,0,11/27/14
39.17158345,-77.27720281,6,0,11/28/14
39.03908279,-77.04870665,18,0,11/28/14
39.09770056,-77.13650599,6,0,11/28/14
39.15266205,-77.21217654,10,0,11/28/14
39.03738588,-77.05163598,6,0,11/28/14
38.98214781,-77.09611469,28,0,11/28/14
39.09988198,-77.06851557,26,0,11/29/14
39.18474415,-77.23504665,8,0,11/29/14
39.1162848,-77.2055635,28,0,11/29/14
39.05275775,-77.07659091,8,0,11/29/14
38.99269263,-77.09706291,28,0,11/29/14
39.18769735,-77.23857207,2942,0,11/29/14
39.17330153,-77.21351864,12,0,11/29/14
39.16207257,-77.25659512,6,0,11/29/14
39.15067674,-77.20405895,6,0,11/29/14
38.99843827,-77.0287483,22,0,11/29/14
38.99193359,-77.01664836,24,0,11/29/14
39.16238763,-77.22488751,27,0,11/30/14
39.15266205,-77.21217654,28,0,11/30/14
39.04012149,-77.0513237,24,0,11/30/14
39.01622723,-77.05798045,28,0,11/30/14
39.19016213,-77.23512991,29,0,11/30/14
39.17111306,-77.24952552,10,0,12/1/14
38.98677272,-77.09474086,12,0,12/1/14
39.02595168,-77.06228422,5,0,12/1/14
39.19220361,-77.24752596,27,0,12/1/14
39.00960164,-77.11571947,10,0,12/1/14
39.07317388,-77.06548801,6,0,12/1/14
39.01434341,-77.12345942,10,0,12/1/14
39.09030577,-77.1561521,6,0,12/1/14
38.99433438,-77.03352902,10,0,12/1/14
39.03738588,-77.05163598,6,0,12/1/14
39.0938584,-76.98234855,8,0,12/1/14
39.15439826,-77.17475794,8,0,12/1/14
39.021459,-77.1379713,6,0,12/1/14
38.97727143,-77.09156347,2941,0,12/2/14
39.24468854,-77.27309672,6,0,12/2/14
39.08516274,-77.14819686,2941,0,12/2/14
