Pickup_latitude,Pickup_longitude,duration,total_adjusted,total,Fare_amount,Tip_amount,Trip_distance,RateCodeID
40.75777054,-73.9199295,22.63,41.8685,44,39,5,14.21,1
40.7087822,-73.78469849,28.97,39.7045,40,39,1,1.97,5
40.67693329,-73.97229767,44.35,38.1865,40,39,1,12.09,1
40.69710541,-73.93653107,51.03,37.4505,39,39,0,10.33,1
40.74349594,-73.92324066,28.08,36.948,39,39,0,13.68,1
40.71463013,-73.96115112,32.42,45.63,47.55,38.5,9.05,12.8,1
40.81139374,-73.95419312,30.65,45.62,47.57,38.5,9.07,13,1
40.74718094,-73.88761139,32.82,44.546,46.46,38.5,7.96,12.76,1
40.73296356,-73.86398315,26.7,37.2555,39.3,38.5,0.8,13.63,1
40.69331741,-73.99035645,50.13,37.045,38.5,38.5,0,9.7,1
40.67499542,-73.94593048,43.73,36.844,38.5,38.5,0,11.04,1
40.68731689,-73.95392609,42.33,36.7435,38.5,38.5,0,11.71,1
40.79259491,-73.94615936,31.15,36.5665,38.5,38.5,0,12.89,1
40.70797348,-73.93987274,38.22,43.975,45.76,38,7.76,11.9,1
40.8442688,-73.90428925,31.43,43.86,45.75,38,7.75,12.6,1
40.76416016,-73.82785797,22.3,41.9105,44,38,6,13.93,1
40.82788467,-73.92559814,36.33,41.1445,43,38,5,12.37,1
40.70692062,-73.81419373,35.95,39.179,41,38,3,12.14,1
40.67632294,-73.98038483,51.67,36.641,38,38,0,9.06,1
40.71696472,-73.80343628,29.45,36.1625,38,38,0,12.25,1
40.80137634,-73.95762634,31.77,36.1595,38,38,0,12.27,1
40.75790024,-73.83430481,24.9,36.0185,38,38,0,13.21,1
40.68347549,-73.97579956,67.12,48.633,48.99,37.5,11.49,2.38,1
40.79662323,-73.94869232,40.43,45.37,47.08,37.5,9.58,11.4,1
40.68342209,-73.99259949,51.22,43.975,45.16,37.5,7.66,7.9,1
40.68442917,-73.98257446,42.65,43.4095,45.16,37.5,7.66,11.67,1
40.81224823,-73.95683289,46.27,40.9205,42.5,37.5,5,10.53,1
40.69383621,-73.990448,57.72,36.3495,37.5,37.5,0,7.67,1
40.73027802,-73.86187744,40.42,46.15,47.8,37,10.8,11,1
40.67472839,-73.97579956,50.33,43.2205,44.56,37,7.56,8.93,1
40.79620361,-73.94963837,45.42,43.1515,44.56,37,7.56,9.39,1
40.67618179,-73.96344757,46.07,43.147,44.56,37,7.56,9.42,1
40.83958435,-73.94104004,24.17,42.119,44,37,7,12.54,1
40.81803513,-73.94181824,43.73,35.3905,37,37,0,10.73,1
40.7022934,-73.85545349,38.9,35.1595,37,37,0,12.27,1
40.71443558,-73.95729065,24.42,35.02,37,37,0,13.2,1
40.66550827,-73.72883606,31.02,44.745,46.5,36.5,10,11.7,1
40.65692139,-73.96018219,28.13,44.0855,45.95,36.5,9.45,12.43,1
40.78865051,-73.95341492,52.48,42.7335,44.16,36.5,7.66,9.51,1
40.7545166,-73.93586731,44.5,42.4915,43.96,36.5,7.46,9.79,1
40.68250656,-73.97621918,36.88,42.4085,44.06,36.5,7.56,11.01,1
40.86511612,-73.8951416,31.07,34.7255,36.5,36.5,0,11.83,1
40.72171783,-73.95806122,24.63,34.5755,36.5,36.5,0,12.83,1
40.72028732,-73.84503937,22.45,34.526,36.5,36.5,0,13.16,1
40.80299759,-73.93380737,24.92,43.4135,45.32,36,9.32,12.71,1
40.76172638,-73.95021057,28.15,43.394,45.2,36,9.2,12.04,1
40.68651962,-73.98415375,47.27,42.205,43.45,36,7.45,8.3,1
40.81012344,-73.95088959,49,42.1125,43.56,36,7.56,9.65,1
40.80705643,-73.94615936,44.92,41.92,43.36,36,7.36,9.6,1
40.69472122,-73.9551239,29.5,41.545,43.36,36,7.36,12.1,1
40.66824341,-73.98440552,36.77,37.895,39.5,36,3.5,10.7,1
40.69335938,-73.97498322,54.08,34.725,36,36,0,8.5,1
40.80428696,-73.93715668,39.38,43.11,44.58,35.5,9.08,9.8,1
40.82434464,-73.9453125,25.23,39.694,41.5,35.5,6,12.04,1
40.80198669,-73.96138763,42.47,38.8845,40.5,35.5,5,10.77,1
40.72132111,-73.95851135,45.25,34.045,35.5,35.5,0,9.7,1
40.75287628,-73.8659668,44.1,33.97,35.5,35.5,0,10.2,1
40.67684555,-73.94810486,37.07,33.88,35.5,35.5,0,10.8,1
40.7190361,-73.83794403,36.55,33.8455,35.5,35.5,0,11.03,1
40.74697113,-73.89165497,38.68,33.7705,35.5,35.5,0,11.53,1
40.66914368,-73.79524994,33.62,45.0085,46,35,11,6.61,5
40.80153656,-73.94886017,48.4,43.066,44.2,35,9.2,7.56,1
40.67367935,-73.96046448,44.47,40.77,42.15,35,7.15,9.2,1
40.76294708,-73.93386841,29.65,40.559,42.26,35,7.26,11.34,1
40.68976593,-73.97547913,32.23,40.4935,42.16,35,7.16,11.11,1
40.70365143,-73.99475098,17.18,38.998,40,35,5,6.68,5
40.70770645,-73.79737091,54.8,34.355,35,35,0,4.3,5
40.71386337,-73.95612335,33.4,34.3125,36,35,1,11.25,1
40.74453735,-73.93357086,17.88,34.2995,35,35,0,4.67,5
40.81504059,-73.91487885,11.82,34.133,35,35,0,5.78,5
40.81577682,-73.95862579,41.93,33.5945,35,35,0,9.37,1
40.75961685,-73.8323288,17.03,33.554,35,35,0,9.64,5
40.72133636,-73.84420776,38.55,33.527,35,35,0,9.82,1
40.79848099,-73.94181061,41.45,33.503,35,35,0,9.98,1
40.82818604,-73.92639923,31.17,33.272,35,35,0,11.52,1
