index,x,y,a1,a2
71,39.11717,-77.16474,6,0,
72,39.11437,-77.15988,6,0,
72,39.11457,-77.16441,6,0,
72,39.11646,-77.1602,6,0,
72,39.11717,-77.16474,6,0,
72,39.11927,-77.15692,21,0,
73,39.08767,-77.18716,6,0,
73,39.09196,-77.18119,28,0,
73,39.09211,-77.18829,6,0,
73,39.09644,-77.17513,6,0,
73,39.0968,-77.18678,6,0,
73,39.10223,-77.18015,28,0,
74,39.08767,-77.18716,6,0,
74,39.08946,-77.19006,6,0,
74,39.09196,-77.18119,28,0,
74,39.09211,-77.18829,6,0,
74,39.09404,-77.19306,2942,0,
74,39.0968,-77.18678,6,0,
75,39.10891,-77.16582,6,0,
75,39.112,-77.1616,6,0,
75,39.11295,-77.16454,21,0,
75,39.11362,-77.16557,6,0,
75,39.11457,-77.16441,6,0,
76,39.112,-77.1616,6,0,
76,39.11355,-77.15111,14,0,
76,39.11437,-77.15988,6,0,
76,39.11457,-77.16441,6,0,
76,39.11646,-77.1602,6,0,
77,39.10657,-77.15853,6,0,
77,39.10667,-77.15852,28,0,
77,39.10891,-77.16582,6,0,
77,39.112,-77.1616,6,0,
78,39.19675,-77.13907,10,0,
78,39.20333,-77.13849,10,0,
78,39.20703,-77.14131,14,0,
79,39.09229,-77.16656,10,0,
79,39.0938,-77.17231,29,0,
79,39.09454,-77.17272,29,0,
80,39.10149,-77.16112,6,0,
80,39.10375,-77.16216,6,0,
80,39.10431,-77.16537,29,0,
80,39.10657,-77.15853,6,0,
81,39.08622,-77.16311,6,0,
81,39.08681,-77.15641,6,0,
81,39.08903,-77.15789,18,0,
81,39.09031,-77.15615,6,0,
81,39.09219,-77.16273,6,0,
81,39.09344,-77.16145,6,0,
82,39.09084,-77.15369,6,0,
82,39.09206,-77.15329,6,0,
82,39.09309,-77.1534,22,0,
83,39.12432,-77.11568,2942,0,
83,39.1354,-77.12433,10,0,
83,39.13614,-77.13535,10,0,
83,39.14101,-77.11961,10,0,
84,39.20531,-77.05003,10,0,
84,39.21259,-77.13934,10,0,
84,39.24672,-77.11977,10,0,
84,39.24931,-77.1305,27,0,
85,39.0308,-77.20127,22,0,
85,39.03155,-77.20145,6,0,
85,39.04016,-77.19688,6,0,
86,39.31716,-77.20881,2942,0,
86,39.3223,-77.20996,2942,0,
87,39.07098,-77.13208,6,0,
87,39.07099,-77.12965,6,0,
87,39.07159,-77.13032,8,0,
87,39.07352,-77.13255,6,0,
88,39.03862,-77.16978,26,0,
88,39.04154,-77.16134,29,0,
88,39.04234,-77.16952,29,0,
88,39.04379,-77.17173,29,0,
89,39.05445,-77.14321,28,0,
89,39.055,-77.14347,14,0,
89,39.05558,-77.14941,28,0,
90,39.06825,-77.12943,28,0,
90,39.06921,-77.13036,6,0,
90,39.07098,-77.13208,6,0,
90,39.07099,-77.12965,6,0,
91,39.05394,-77.13793,28,0,
91,39.05445,-77.14321,28,0,
91,39.05512,-77.14159,14,0,
91,39.07143,-77.1413,28,0,
92,39.04154,-77.16134,29,0,
92,39.04412,-77.15874,6,0,
92,39.04594,-77.1609,29,0,
92,39.05061,-77.16398,29,0,
93,39.03998,-77.15734,10,0,
93,39.04072,-77.15906,10,0,
93,39.04113,-77.15972,10,0,
94,39.07496,-77.1155,6,0,
94,39.07549,-77.11723,8,0,
94,39.07597,-77.11852,6,0,
95,39.0643,-77.12615,6,0,
95,39.06508,-77.12669,6,0,
95,39.06727,-77.12852,14,0,
95,39.07009,-77.12272,6,0,
96,39.07274,-77.11578,24,0,
96,39.07354,-77.11576,6,0,
96,39.07496,-77.1155,6,0,
97,39.0233,-77.16239,18,0,
97,39.02777,-77.17079,6,0,
97,39.02917,-77.16776,6,0,
97,39.03056,-77.16319,6,0,
97,39.0325,-77.16643,6,0,
98,39.02917,-77.16776,6,0,
98,39.03003,-77.16069,2942,0,
98,39.03056,-77.16319,6,0,
98,39.0325,-77.16643,6,0,
99,39.00806,-77.21399,10,0,
99,39.0084,-77.21633,10,0,
99,39.00922,-77.22041,29,0,
100,39.14991,-77.0635,6,0,
100,39.15081,-77.06217,28,0,
100,39.15162,-77.0636,6,0,
100,39.1519,-77.06223,6,0,
100,39.15255,-77.06552,2942,0,
100,39.15425,-77.06431,6,0,
101,39.09921,-77.38593,6,0,
101,39.10373,-77.34982,6,0,
101,39.13412,-77.40235,28,0,
101,39.13722,-77.39526,6,0,
102,39.05116,-77.11532,6,0,
102,39.05315,-77.11667,6,0,
102,39.0532,-77.11353,6,0,
102,39.0533,-77.11183,18,0,
102,39.05603,-77.11366,6,0,
103,39.04951,-77.11429,6,0,
103,39.04993,-77.11719,14,0,
103,39.05116,-77.11532,6,0,
103,39.05315,-77.11667,6,0,
103,39.0532,-77.11353,6,0,
104,38.98907,-77.21481,10,0,
